Frame_chord,GSD,range_LiD_corr,foc_len,Individual_ID,analysis_number,Frame_area,Measurement,Photo_Quality,Fluke_Glare,Fluke_Positioning,Fluke_Depth,Water_Disturbance,Image_Quality,Total_Score
3617,0.003775171,13.66254267,8.730169867967046,sw22_201c,1,3617,1,2,2,2,0,1,1,6
3617,0.003775171,13.66254267,8.730169867967046,sw22_201c,2,3617,2,2,2,2,0,1,1,6
3617,0.003775171,13.66254267,8.730169867967046,sw22_201c,3,3617,3,2,2,2,0,1,1,6
4300,0.004183919,15.11917868,8.717115645,sw22_201c,4,4300,1,2,2,2,0,1,1,6
4300,0.004183919,15.11917868,8.717115645,sw22_201c,5,4300,2,2,2,2,0,1,1,6
4300,0.004183919,15.11917868,8.717115645,sw22_201c,6,4300,3,2,2,2,0,1,1,6
4926,0.004040324,14.60795353,8.721697192349747,sw22_201c,7,4926,1,3,3,3,0,0,1,7
4926,0.004040324,14.60795353,8.721697192349747,sw22_201c,8,4926,2,3,3,3,0,0,1,7
4926,0.004040324,14.60795353,8.721697192349747,sw22_201c,9,4926,3,3,3,3,0,0,1,7
4373,0.004054734,14.65927972,8.721237212,sw22_201d,1,4373,1,5,3,3,3,2,3,14
4373,0.004054734,14.65927972,8.721237212,sw22_201d,2,4373,2,5,3,3,3,2,3,14
4373,0.004054734,14.65927972,8.721237212,sw22_201d,3,4373,3,5,3,3,3,2,3,14
4510,0.004030606,14.57333392,8.722007449760506,sw22_201d,4,4510,1,5,3,3,3,2,2,13
4510,0.004030606,14.57333392,8.722007449760506,sw22_201d,5,4510,2,5,3,3,3,2,2,13
4510,0.004030606,14.57333392,8.722007449760506,sw22_201d,6,4510,3,5,3,3,3,2,2,13
4530,0.004049597,14.64098331,8.721401182833153,sw22_201d,7,4530,1,5,3,3,3,2,2,13
4530,0.004049597,14.64098331,8.721401182833153,sw22_201d,8,4530,2,5,3,3,3,2,2,13
4530,0.004049597,14.64098331,8.721401182833153,sw22_201d,9,4530,3,5,3,3,3,2,2,13
6549,0.00921383,20.27393619,3.61,sw19_253,1,6549,1,4,3,3,2,1,2,11
6549,0.00921383,20.27393619,3.61,sw19_253,2,6549,2,4,3,3,2,1,2,11
6549,0.00921383,20.27393619,3.61,sw19_253,3,6549,3,4,3,3,2,1,2,11
7245,,,3.61,sw19_253,4,7245,1,3,3,2,1,1,1,8
7245,,,3.61,sw19_253,5,7245,2,3,3,2,1,1,1,8
7245,,,3.61,sw19_253,6,7245,3,3,3,2,1,1,1,8
8156,0.007604759,16.73336608,3.61,sw19_253,7,8156,1,3,3,3,1,1,1,9
8156,0.007604759,16.73336608,3.61,sw19_253,8,8156,2,3,3,3,1,1,1,9
8156,0.007604759,16.73336608,3.61,sw19_253,9,8156,3,3,3,3,1,1,1,9
8918,0.006582363,14.48370657,3.61,sw19_253,10,8918,1,4,3,3,2,1,2,11
8918,0.006582363,14.48370657,3.61,sw19_253,11,8918,2,4,3,3,2,1,2,11
8918,0.006582363,14.48370657,3.61,sw19_253,12,8918,3,4,3,3,2,1,2,11
9087,0.006745691,14.84309083,3.61,sw19_253,13,9087,1,3,3,3,1,1,1,9
9087,0.006745691,14.84309083,3.61,sw19_253,14,9087,2,3,3,3,1,1,1,9
9087,0.006745691,14.84309083,3.61,sw19_253,15,9087,3,3,3,3,1,1,1,9
4945,0.003872486,14.00973329,8.727058381072736,sw22_201b,1,4945,1,4,1,3,3,2,2,11
4945,0.003872486,14.00973329,8.727058381072736,sw22_201b,2,4945,2,4,1,3,3,2,2,11
4945,0.003872486,14.00973329,8.727058381072736,sw22_201b,3,4945,3,4,1,3,3,2,2,11
7044,0.003743212,13.54846534,8.731192217353193,sw22_201b,4,7044,1,4,1,3,3,2,2,11
7044,0.003743212,13.54846534,8.731192217353193,sw22_201b,5,7044,2,4,1,3,3,2,2,11
7044,0.003743212,13.54846534,8.731192217353193,sw22_201b,6,7044,3,4,1,3,3,2,2,11
5554,0.005361092,19.28998942,8.679737265,sw21_196e,1,5554,1,3,3,2,1,2,1,9
5554,0.005361092,19.28998942,8.679737265,sw21_196e,2,5554,2,3,3,2,1,2,1,9
5554,0.005361092,19.28998942,8.679737265,sw21_196e,3,5554,3,3,3,2,1,2,1,9
5809,0.004360408,15.74678161,8.711491131351345,sw21_196e,4,5809,1,4,3,3,1,2,1,10
5809,0.004360408,15.74678161,8.711491131351345,sw21_196e,5,5809,2,4,3,3,1,2,1,10
5809,0.004360408,15.74678161,8.711491131351345,sw21_196e,6,5809,3,4,3,3,1,2,1,10
6399,0.004307487,15.55867557,8.713176918479466,sw21_196e,7,6399,1,4,3,3,2,1,1,10
6399,0.004307487,15.55867557,8.713176918479466,sw21_196e,8,6399,2,4,3,3,2,1,1,10
6399,0.004307487,15.55867557,8.713176918479466,sw21_196e,9,6399,3,4,3,3,2,1,1,10
4211,0.006214204,22.29034334,8.652848399,sw22_210b,1,4211,1,4,3,3,1,2,2,11
4211,0.006214204,22.29034334,8.652848399,sw22_210b,2,4211,2,4,3,3,1,2,2,11
4211,0.006214204,22.29034334,8.652848399,sw22_210b,3,4211,3,4,3,3,1,2,2,11
4255,0.006121329,21.9646099,8.655767588948587,sw22_210b,4,4255,1,3,3,2,1,1,2,9
4255,0.006121329,21.9646099,8.655767588948587,sw22_210b,5,4255,2,3,3,2,1,1,2,9
4255,0.006121329,21.9646099,8.655767588948587,sw22_210b,6,4255,3,3,3,2,1,1,2,9
4420,0.00609146,21.85980508,8.656706839046675,sw22_210b,7,4420,1,3,3,3,0,2,1,9
4420,0.00609146,21.85980508,8.656706839046675,sw22_210b,8,4420,2,3,3,3,0,2,1,9
4420,0.00609146,21.85980508,8.656706839046675,sw22_210b,9,4420,3,3,3,3,0,2,1,9
6136,0.004105717,14.84083146,8.719610164113877,sw22_210b,10,6136,1,3,3,3,1,1,1,9
6136,0.004105717,14.84083146,8.719610164113877,sw22_210b,11,6136,2,3,3,3,1,1,1,9
6136,0.004105717,14.84083146,8.719610164113877,sw22_210b,12,6136,3,3,3,3,1,1,1,9
2900,0.004797561,17.29783142,8.697590781289357,sw22_192a,1,2900,1,4,2,3,1,3,2,11
2900,0.004797561,17.29783142,8.697590781289357,sw22_192a,2,2900,2,4,2,3,1,3,2,11
2900,0.004797561,17.29783142,8.697590781289357,sw22_192a,3,2900,3,4,2,3,1,3,2,11
3406,0.004473172,16.14735035,8.707901275194573,sw22_192a,4,3406,1,4,2,3,1,2,2,10
3406,0.004473172,16.14735035,8.707901275194573,sw22_192a,5,3406,2,4,2,3,1,2,2,10
3406,0.004473172,16.14735035,8.707901275194573,sw22_192a,6,3406,3,4,2,3,1,2,2,10
4525,0.003686046,13.34435126,8.733021466901652,sw22_216a,1,5509,1,1,0,2,0,1,0,3
4525,0.003686046,13.34435126,8.733021466901652,sw22_216a,2,5509,2,1,0,2,0,1,0,3
4525,0.003686046,13.34435126,8.733021466901652,sw22_216a,3,5509,3,1,0,2,0,1,0,3
5509,0.004208332,15.20604328,8.716337173064817,sw22_216a,4,6068,1,4,1,3,3,2,2,11
5509,0.004208332,15.20604328,8.716337173064817,sw22_216a,5,6068,2,4,1,3,3,2,2,11
5509,0.004208332,15.20604328,8.716337173064817,sw22_216a,6,6068,3,4,1,3,3,2,2,11
6068,0.004098437,14.81491301,8.719842442616953,sw22_216a,7,,1,2,1,2,1,1,1,6
6068,0.004098437,14.81491301,8.719842442616953,sw22_216a,8,,2,2,1,2,1,1,1,6
6068,0.004098437,14.81491301,8.719842442616953,sw22_216a,9,,3,2,1,2,1,1,1,6
7959,0.004547278,16.41041665,8.705543702,sw21_232a,1,7959,1,4,2,3,3,2,2,12
7959,0.004547278,16.41041665,8.705543702,sw21_232a,2,7959,2,4,2,3,3,2,2,12
7959,0.004547278,16.41041665,8.705543702,sw21_232a,3,7959,3,4,2,3,3,2,2,12
9206,0.004694317,16.93196068,8.700869677512193,sw21_232a,4,9206,1,4,2,3,3,2,2,12
9206,0.004694317,16.93196068,8.700869677512193,sw21_232a,5,9206,2,4,2,3,3,2,2,12
9206,0.004694317,16.93196068,8.700869677512193,sw21_232a,6,9206,3,4,2,3,3,2,2,12
9372,0.004557447,16.44650119,8.705220315904594,sw21_232a,7,9372,1,3,2,3,2,1,1,9
9372,0.004557447,16.44650119,8.705220315904594,sw21_232a,8,9372,2,3,2,3,2,1,1,9
9372,0.004557447,16.44650119,8.705220315904594,sw21_232a,9,9372,3,3,2,3,2,1,1,9
9861,0.004545976,16.40579561,8.705585115157222,sw21_232a,10,9861,1,4,2,3,2,2,2,11
9861,0.004545976,16.40579561,8.705585115157222,sw21_232a,11,9861,2,4,2,3,2,2,2,11
9861,0.004545976,16.40579561,8.705585115157222,sw21_232a,12,9861,3,4,2,3,2,2,2,11
3037,0.003875839,14.0216932,8.726951197580215,sw22_234a,1,3037,1,3,1,3,2,1,1,8
3037,0.003875839,14.0216932,8.726951197580215,sw22_234a,2,3037,2,3,1,3,2,1,1,8
3037,0.003875839,14.0216932,8.726951197580215,sw22_234a,3,3037,3,3,1,3,2,1,1,8
3174,0.003715306,13.44883482,8.732085095902889,sw22_234a,4,3174,1,3,1,3,3,1,1,9
3174,0.003715306,13.44883482,8.732085095902889,sw22_234a,5,3174,2,3,1,3,3,1,1,9
3174,0.003715306,13.44883482,8.732085095902889,sw22_234a,6,3174,3,3,1,3,3,1,1,9
7247,0.00450866,16.27334419,8.706772131262273,sw21_242a,1,7247,1,4,3,3,2,2,2,12
7247,0.00450866,16.27334419,8.706772131262273,sw21_242a,2,7247,2,4,3,3,2,2,2,12
7247,0.00450866,16.27334419,8.706772131262273,sw21_242a,3,7247,3,4,3,3,2,2,2,12
7750,0.004462715,16.11021835,8.708234048,sw21_242a,4,7750,1,4,3,2,2,2,2,11
7750,0.004462715,16.11021835,8.708234048,sw21_242a,5,7750,2,4,3,2,2,2,2,11
7750,0.004462715,16.11021835,8.708234048,sw21_242a,6,7750,3,4,3,2,2,2,2,11
8091,0.00448807,16.20024767,8.707427214812629,sw21_242a,7,8091,1,4,3,2,1,2,2,10
8091,0.00448807,16.20024767,8.707427214812629,sw21_242a,8,8091,2,4,3,2,1,2,2,10
8091,0.00448807,16.20024767,8.707427214812629,sw21_242a,9,8091,3,4,3,2,1,2,2,10
9696,0.004355562,15.72955983,8.711645471,sw21_242a,10,9696,1,4,3,3,2,2,2,12
9696,0.004355562,15.72955983,8.711645471,sw21_242a,11,9696,2,4,3,3,2,2,2,12
9696,0.004355562,15.72955983,8.711645471,sw21_242a,12,9696,3,4,3,3,2,2,2,12
3898,0.003779672,13.6786047,8.730025922,sw22_223b,1,3898,1,4,2,3,2,2,2,11
3898,0.003779672,13.6786047,8.730025922,sw22_223b,2,3898,2,4,2,3,2,2,2,11
3898,0.003779672,13.6786047,8.730025922,sw22_223b,3,3898,3,4,2,3,2,2,2,11
4603,0.004371967,15.78785619,8.711123025158384,sw22_223b,4,4603,1,4,2,3,2,1,2,10
4603,0.004371967,15.78785619,8.711123025158384,sw22_223b,5,4603,2,4,2,3,2,1,2,10
4603,0.004371967,15.78785619,8.711123025158384,sw22_223b,6,4603,3,4,2,3,2,1,2,10
4720,0.004693443,16.92886287,8.70089744,sw22_223b,7,4720,1,4,2,3,2,2,2,11
4720,0.004693443,16.92886287,8.70089744,sw22_223b,8,4720,2,4,2,3,2,2,2,11
4720,0.004693443,16.92886287,8.70089744,sw22_223b,9,4720,3,4,2,3,2,2,2,11
2711,0.00402494,14.55315047,8.722188331779027,sw22_209a,1,2711,1,3,2,2,1,1,1,7
2711,0.00402494,14.55315047,8.722188331779027,sw22_209a,2,2711,2,3,2,2,1,1,1,7
2711,0.00402494,14.55315047,8.722188331779027,sw22_209a,3,2711,3,3,2,2,1,1,1,7
4391,0.004668334,16.83983903,8.701695262335473,sw22_209a,4,4391,1,4,2,3,2,2,2,11
4391,0.004668334,16.83983903,8.701695262335473,sw22_209a,5,4391,2,4,2,3,2,2,2,11
4391,0.004668334,16.83983903,8.701695262335473,sw22_209a,6,4391,3,4,2,3,2,2,2,11
1823,0.004845647,17.46814143,8.69606448,sw22_201a,1,1823,1,3,1,3,2,1,1,8
1823,0.004845647,17.46814143,8.69606448,sw22_201a,2,1823,2,3,1,3,2,1,1,8
1823,0.004845647,17.46814143,8.69606448,sw22_201a,3,1823,3,3,1,3,2,1,1,8
,,,,,4,,1,2,0,3,1,0,0,4
,,,,,5,,2,2,0,3,1,0,0,4
,,,,,6,,3,2,0,3,1,0,0,4
10883,,,3.61,sw19_251,1,10883,1,4,2,3,2,2,2,11
10883,,,3.61,sw19_251,2,10883,2,4,2,3,2,2,2,11
10883,,,3.61,sw19_251,3,10883,3,4,2,3,2,2,2,11
12955,,,3.61,sw19_251,4,12955,1,3,2,2,1,2,2,9
12955,,,3.61,sw19_251,5,12955,2,3,2,2,1,2,2,9
12955,,,3.61,sw19_251,6,12955,3,3,2,2,1,2,2,9
4418,0.0074552,16.40428091,3.61,sw19_251,7,4418,1,3,2,2,1,3,1,9
4418,0.0074552,16.40428091,3.61,sw19_251,8,4418,2,3,2,2,1,3,1,9
4418,0.0074552,16.40428091,3.61,sw19_251,9,4418,3,3,2,2,1,3,1,9
9447,,,3.61,sw19_251,10,9447,1,4,1,3,1,2,2,9
9447,,,3.61,sw19_251,11,9447,2,4,1,3,1,2,2,9
9447,,,3.61,sw19_251,12,9447,3,4,1,3,1,2,2,9
9907,,,3.61,sw19_251,13,9907,1,4,2,3,1,3,2,11
9907,,,3.61,sw19_251,14,9907,2,4,2,3,1,3,2,11
9907,,,3.61,sw19_251,15,9907,3,4,2,3,1,3,2,11
1004,0.004981835,17.95016604,8.691744625016947,sw22_224a,1,1004,1,4,2,3,1,2,2,10
1004,0.004981835,17.95016604,8.691744625016947,sw22_224a,2,1004,2,4,2,3,1,2,2,10
1004,0.004981835,17.95016604,8.691744625016947,sw22_224a,3,1004,3,4,2,3,1,2,2,10
697,0.005042892,18.16611412,8.689809320368534,sw22_224a,4,697,1,3,2,3,1,1,2,9
697,0.005042892,18.16611412,8.689809320368534,sw22_224a,5,697,2,3,2,3,1,1,2,9
697,0.005042892,18.16611412,8.689809320368534,sw22_224a,6,697,3,3,2,3,1,1,2,9
755,0.005112666,18.41277889,8.687598736,sw22_224a,7,755,1,4,3,3,2,2,2,12
755,0.005112666,18.41277889,8.687598736,sw22_224a,8,755,2,4,3,3,2,2,2,12
755,0.005112666,18.41277889,8.687598736,sw22_224a,9,755,3,4,3,3,2,2,2,12
5910,0.005065295,18.24532602,8.689099431406891,sw21_211a,1,5910,1,2,0,3,1,1,0,5
5910,0.005065295,18.24532602,8.689099431406891,sw21_211a,2,5910,2,2,0,3,1,1,0,5
5910,0.005065295,18.24532602,8.689099431406891,sw21_211a,3,5910,3,2,0,3,1,1,0,5
5936,0.005064487,18.24247063,8.689125021120585,sw21_211a,4,7030,1,2,0,3,2,1,0,6
5936,0.005064487,18.24247063,8.689125021120585,sw21_211a,5,7030,2,2,0,3,2,1,0,6
5936,0.005064487,18.24247063,8.689125021120585,sw21_211a,6,7030,3,2,0,3,2,1,0,6
7030,0.005077715,18.28923486,8.688705924865141,sw21_211a,7,7749,1,3,1,3,1,1,1,7
7030,0.005077715,18.28923486,8.688705924865141,sw21_211a,8,7749,2,3,1,3,1,1,1,7
7030,0.005077715,18.28923486,8.688705924865141,sw21_211a,9,7749,3,3,1,3,1,1,1,7
7033,0.005077715,18.28923486,8.688705924865141,sw21_211a,10,,1,3,1,3,2,1,1,8
7033,0.005077715,18.28923486,8.688705924865141,sw21_211a,11,,2,3,1,3,2,1,1,8
7033,0.005077715,18.28923486,8.688705924865141,sw21_211a,12,,3,3,1,3,2,1,1,8
7749,0.004864706,17.53562613,8.695459689373045,sw21_211a,13,,1,2,0,3,2,1,0,6
7749,0.004864706,17.53562613,8.695459689373045,sw21_211a,14,,2,2,0,3,2,1,0,6
7749,0.004864706,17.53562613,8.695459689373045,sw21_211a,15,,3,2,0,3,2,1,0,6
4231,0.004265845,15.41061054,8.714503862,sw22_234d,1,4231,1,4,3,3,2,2,2,12
4231,0.004265845,15.41061054,8.714503862,sw22_234d,2,4231,2,4,3,3,2,2,2,12
4231,0.004265845,15.41061054,8.714503862,sw22_234d,3,4231,3,4,3,3,2,2,2,12
4251,0.004213999,15.22620312,8.716156502636707,sw22_234d,4,4251,1,4,3,3,2,1,2,11
4251,0.004213999,15.22620312,8.716156502636707,sw22_234d,5,4251,2,4,3,3,2,1,2,11
4251,0.004213999,15.22620312,8.716156502636707,sw22_234d,6,4251,3,4,3,3,2,1,2,11
3401,0.004674537,10.28576176,3.61,sw19_254,1,3401,1,2,1,3,0,1,0,5
3401,0.004674537,10.28576176,3.61,sw19_254,2,3401,2,2,1,3,0,1,0,5
3401,0.004674537,10.28576176,3.61,sw19_254,3,3401,3,2,1,3,0,1,0,5
3816,0.004960064,10.91403028,3.61,sw19_254,4,3816,1,2,2,3,0,1,0,6
3816,0.004960064,10.91403028,3.61,sw19_254,5,3816,2,2,2,3,0,1,0,6
3816,0.004960064,10.91403028,3.61,sw19_254,6,3816,3,2,2,3,0,1,0,6
4094,0.005179431,11.39672131,3.61,sw19_254,7,4094,1,4,2,3,2,1,2,10
4094,0.005179431,11.39672131,3.61,sw19_254,8,4094,2,4,2,3,2,1,2,10
4094,0.005179431,11.39672131,3.61,sw19_254,9,4094,3,4,2,3,2,1,2,10
5176,0.004393836,15.8655598,8.710426653337754,sw21_215a,1,5176,1,2,0,3,1,0,0,4
5176,0.004393836,15.8655598,8.710426653337754,sw21_215a,2,5176,2,2,0,3,1,0,0,4
5176,0.004393836,15.8655598,8.710426653337754,sw21_215a,3,5176,3,2,0,3,1,0,0,4
5318,0.004354016,15.72406351,8.711694729,sw21_215a,4,5318,1,1,0,2,1,0,0,3
5318,0.004354016,15.72406351,8.711694729,sw21_215a,5,5318,2,1,0,2,1,0,0,3
5318,0.004354016,15.72406351,8.711694729,sw21_215a,6,5318,3,1,0,2,1,0,0,3
5531,0.004255591,15.37414394,8.714830672110054,sw21_215a,7,5531,1,1,0,1,0,0,0,1
5531,0.004255591,15.37414394,8.714830672110054,sw21_215a,8,5531,2,1,0,1,0,0,0,1
5531,0.004255591,15.37414394,8.714830672110054,sw21_215a,9,5531,3,1,0,1,0,0,0,1
6211,0.004310136,15.56809539,8.713092499014227,sw21_230a,1,6211,1,4,3,3,2,2,2,12
6211,0.004310136,15.56809539,8.713092499014227,sw21_230a,2,6211,2,4,3,3,2,2,2,12
6211,0.004310136,15.56809539,8.713092499014227,sw21_230a,3,6211,3,4,3,3,2,2,2,12
6356,0.004282272,15.46902757,8.713980334703963,sw21_230a,4,6356,1,3,2,2,2,2,1,9
6356,0.004282272,15.46902757,8.713980334703963,sw21_230a,5,6356,2,3,2,2,2,2,1,9
6356,0.004282272,15.46902757,8.713980334703963,sw21_230a,6,6356,3,3,2,2,2,2,1,9
6685,0.00353945,12.82052602,8.737715935229078,sw21_230a,7,6858,1,2,1,2,1,1,1,6
6685,0.00353945,12.82052602,8.737715935229078,sw21_230a,8,,2,2,1,2,1,1,1,6
6685,0.00353945,12.82052602,8.737715935229078,sw21_230a,9,,3,2,1,2,1,1,1,6
6858,0.003481167,12.61211051,8.739583733754095,sw21_230a,10,,1,1,0,3,0,0,0,3
6858,0.003481167,12.61211051,8.739583733754095,sw21_230a,11,,2,1,0,3,0,0,0,3
6858,0.003481167,12.61211051,8.739583733754095,sw21_230a,12,,3,1,0,3,0,0,0,3
7321,0.004505171,16.26096003,8.706883116839986,sw21_221a,1,7321,1,1,0,2,0,1,0,3
7321,0.004505171,16.26096003,8.706883116839986,sw21_221a,2,7321,2,1,0,2,0,1,0,3
7321,0.004505171,16.26096003,8.706883116839986,sw21_221a,3,7321,3,1,0,2,0,1,0,3
7456,0.005569682,20.02531281,8.673147371500631,sw21_221a,4,8078,1,2,0,3,0,1,0,4
7456,0.005569682,20.02531281,8.673147371500631,sw21_221a,5,8078,2,2,0,3,0,1,0,4
7456,0.005569682,20.02531281,8.673147371500631,sw21_221a,6,8078,3,2,0,3,0,1,0,4
8078,0.005364247,19.30111976,8.679637515687206,sw21_221a,7,8811,1,3,1,3,1,1,1,7
8078,0.005364247,19.30111976,8.679637515687206,sw21_221a,8,8811,2,3,1,3,1,1,1,7
8078,0.005364247,19.30111976,8.679637515687206,sw21_221a,9,8811,3,3,1,3,1,1,1,7
8811,0.004088761,14.7804586,8.720151219522176,sw21_221a,10,9013,1,2,0,3,1,0,0,4
8811,0.004088761,14.7804586,8.720151219522176,sw21_221a,11,9013,2,2,0,3,1,0,0,4
8811,0.004088761,14.7804586,8.720151219522176,sw21_221a,12,9013,3,2,0,3,1,0,0,4
9013,0.004129845,14.92672763,8.718840371406843,sw21_221a,13,,1,1,0,2,1,0,0,3
9013,0.004129845,14.92672763,8.718840371406843,sw21_221a,14,,2,1,0,2,1,0,0,3
9013,0.004129845,14.92672763,8.718840371406843,sw21_221a,15,,3,1,0,2,1,0,0,3
5559,0.004496549,16.23035134,8.707157428795151,sw22_229a,1,5559,1,4,3,3,2,2,2,12
5559,0.004496549,16.23035134,8.707157428795151,sw22_229a,2,5559,2,4,3,3,2,2,2,12
5559,0.004496549,16.23035134,8.707157428795151,sw22_229a,3,5559,3,4,3,3,2,2,2,12
6616,0.004577255,16.51678946,8.704590399604065,sw22_229a,4,6616,1,4,3,3,2,2,2,12
6616,0.004577255,16.51678946,8.704590399604065,sw22_229a,5,6616,2,4,3,3,2,2,2,12
6616,0.004577255,16.51678946,8.704590399604065,sw22_229a,6,6616,3,4,3,3,2,2,2,12
6693,0.004422291,15.96664803,8.709520710939845,sw22_229a,7,6693,1,4,3,3,2,1,2,11
6693,0.004422291,15.96664803,8.709520710939845,sw22_229a,8,6693,2,4,3,3,2,1,2,11
6693,0.004422291,15.96664803,8.709520710939845,sw22_229a,9,6693,3,4,3,3,2,1,2,11